"filename", "language", "GDScript", "comment", "blank", "total"
"d:\GODOT 3.6\projetos\Aethernest\scripts\camera\CameraController.gd", "GDScript", 434, 76, 137, 647
"d:\GODOT 3.6\projetos\Aethernest\scripts\debug\CombatTester.gd", "GDScript", 38, 5, 17, 60
"d:\GODOT 3.6\projetos\Aethernest\scripts\decoration\DecorationCatalog.gd", "GDScript", 77, 3, 20, 100
"d:\GODOT 3.6\projetos\Aethernest\scripts\decoration\DecorationItem.gd", "GDScript", 110, 14, 40, 164
"d:\GODOT 3.6\projetos\Aethernest\scripts\decoration\Tree.gd", "GDScript", 33, 6, 15, 54
"d:\GODOT 3.6\projetos\Aethernest\scripts\dragon\Dragon.gd", "GDScript", 233, 33, 83, 349
"d:\GODOT 3.6\projetos\Aethernest\scripts\dragon\DragonBehavior.gd", "GDScript", 435, 115, 170, 720
"d:\GODOT 3.6\projetos\Aethernest\scripts\dragon\DragonPersonality.gd", "GDScript", 367, 37, 100, 504
"d:\GODOT 3.6\projetos\Aethernest\scripts\dragon\DragonProjectile.gd", "GDScript", 234, 37, 93, 364
"d:\GODOT 3.6\projetos\Aethernest\scripts\dragon\DragonStats.gd", "GDScript", 120, 10, 36, 166
"d:\GODOT 3.6\projetos\Aethernest\scripts\managers\DecorationManager.gd", "GDScript", 276, 18, 99, 393
"d:\GODOT 3.6\projetos\Aethernest\scripts\managers\DragonManager.gd", "GDScript", 78, 8, 38, 124
"d:\GODOT 3.6\projetos\Aethernest\scripts\ui\CustomStatusBar.gd", "GDScript", 0, 54, 1, 55
"d:\GODOT 3.6\projetos\Aethernest\scripts\ui\DecorationUI.gd", "GDScript", 296, 24, 90, 410
"d:\GODOT 3.6\projetos\Aethernest\scripts\ui\DragonInfoUI.gd", "GDScript", 518, 656, 185, 1359
"d:\GODOT 3.6\projetos\Aethernest\scripts\ui\UITheme.gd", "GDScript", 0, 45, 1, 46
"d:\GODOT 3.6\projetos\Aethernest\scripts\utils\Enums.gd", "GDScript", 36, 6, 5, 47
"d:\GODOT 3.6\projetos\dragon_mania\scripts\camera\CameraController.gd", "GDScript", -430, -76, -136, -642
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\DecorationCatalog.gd", "GDScript", -77, -3, -20, -100
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\DecorationItem.gd", "GDScript", -110, -14, -40, -164
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\Tree.gd", "GDScript", -33, -6, -15, -54
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\Dragon.gd", "GDScript", -192, -23, -63, -278
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonBehavior.gd", "GDScript", -204, -33, -72, -309
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonPersonality.gd", "GDScript", -367, -37, -100, -504
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonStats.gd", "GDScript", -105, -9, -31, -145
"d:\GODOT 3.6\projetos\dragon_mania\scripts\managers\DecorationManager.gd", "GDScript", -248, -38, -101, -387
"d:\GODOT 3.6\projetos\dragon_mania\scripts\managers\DragonManager.gd", "GDScript", -76, -5, -35, -116
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\CustomStatusBar.gd", "GDScript", 0, -54, -1, -55
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\DecorationUI.gd", "GDScript", -154, -26, -49, -229
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\DragonInfoUI.gd", "GDScript", -511, -637, -182, -1330
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\UITheme.gd", "GDScript", 0, -45, -1, -46
"d:\GODOT 3.6\projetos\dragon_mania\scripts\utils\Enums.gd", "GDScript", -35, -6, -5, -46
"Total", "-", 743, 135, 279, 1157
